ticker,origin,day,horizon,method,mean,median,lo,hi,observed
LLY,2026-08-04,2026-08-11,5,filtered_state,1121.1966448081498,1119.9013953443623,1054.9199346091784,1191.1667578159231,1212.92
LLY,2026-08-04,2026-08-05,1,filtered_state_vol20,1118.0805357640056,1117.4908688622197,1087.402004956795,1147.577902238441,1169.29
LLY,2026-08-04,2026-08-06,2,filtered_state_vol20,1118.535067085342,1117.9098518423734,1073.4758792361854,1162.0374470400668,1191.84
LLY,2026-08-04,2026-08-07,3,filtered_state_vol20,1119.4058909927328,1118.3853781808377,1063.812803778835,1178.6294838894412,1185.96
LLY,2026-08-04,2026-08-10,4,filtered_state_vol20,1120.4033982128578,1118.742109065061,1056.262695920322,1192.0364214968774,1230.9
LLY,2026-08-04,2026-08-11,5,filtered_state_vol20,1121.494876229016,1119.9274097864645,1047.235189327603,1200.2457075391017,1212.92
LLY,2026-08-04,2026-08-05,1,rw_fixed,1117.4620624078411,1117.1659074441868,1087.072243943212,1148.8913991180016,1169.29
LLY,2026-08-04,2026-08-06,2,rw_fixed,1117.3572250347027,1116.6338397106556,1074.710399975362,1163.6757683085789,1191.84
LLY,2026-08-04,2026-08-07,3,rw_fixed,1117.0175743859493,1116.2328313070177,1064.5255183070467,1172.9315979622143,1185.96
LLY,2026-08-04,2026-08-10,4,rw_fixed,1117.2922703749484,1115.9983215129769,1056.5076375165183,1181.319976184685,1230.9
LLY,2026-08-04,2026-08-11,5,rw_fixed,1117.1083215260448,1116.1274274058487,1048.2823175859794,1189.0471498051254,1212.92
LLY,2026-08-04,2026-08-05,1,rw_vol20,1117.4830292030733,1117.1286005993675,1083.3998141436336,1152.807206412779,1169.29
LLY,2026-08-04,2026-08-06,2,rw_vol20,1117.3887593524469,1116.5312848775368,1069.5777241713583,1169.475309303102,1191.84
