period,ticker,origin,endpoint,horizon,origin_spot,observed,daily_variance,daily_drift,return_count,stock_feature_age,market_feature_age
2025,LLY,2025-06-12,2025-06-13,1,812.03,819.36,0.0008356120145221241,0.0,2877,0,0
2025,LLY,2025-06-12,2025-06-20,5,812.03,762.73,0.0008356120145221241,0.0,2877,0,0
2025,LLY,2025-06-13,2025-06-16,1,819.36,807.58,0.000812966241456098,0.0,2878,0,0
2025,LLY,2025-06-13,2025-06-23,5,819.36,770.64,0.000812966241456098,0.0,2878,0,0
2025,LLY,2025-06-16,2025-06-17,1,807.58,791.24,0.0007948686054578526,0.0,2879,0,0
2025,LLY,2025-06-16,2025-06-24,5,807.58,778.08,0.0007948686054578526,0.0,2879,0,0
2025,LLY,2025-06-17,2025-06-18,1,791.24,785.03,0.0007835573195686065,0.0,2880,0,0
2025,LLY,2025-06-17,2025-06-25,5,791.24,792.3,0.0007835573195686065,0.0,2880,0,0
2025,LLY,2025-06-18,2025-06-20,1,785.03,762.73,0.0007619131490381316,0.0,2881,0,0
2025,LLY,2025-06-18,2025-06-26,5,785.03,795.12,0.0007619131490381316,0.0,2881,0,0
2025,LLY,2025-06-20,2025-06-23,1,762.73,770.64,0.0007639697765416526,0.0,2882,0,0
2025,LLY,2025-06-20,2025-06-27,5,762.73,775.45,0.0007639697765416526,0.0,2882,0,0
2025,LLY,2025-06-23,2025-06-24,1,770.64,778.08,0.0007442440440723648,0.0,2883,0,0
2025,LLY,2025-06-23,2025-06-30,5,770.64,779.53,0.0007442440440723648,0.0,2883,0,0
2025,LLY,2025-06-24,2025-06-25,1,778.08,792.3,0.0007246861374008527,0.0,2884,0,0
2025,LLY,2025-06-24,2025-07-01,5,778.08,775.9,0.0007246861374008527,0.0,2884,0,0
2025,LLY,2025-06-25,2025-06-26,1,792.3,795.12,0.000712785543541877,0.0,2885,0,0
2025,LLY,2025-06-25,2025-07-02,5,792.3,779.28,0.000712785543541877,0.0,2885,0,0
2025,LLY,2025-06-26,2025-06-27,1,795.12,775.45,0.0006917806784353593,0.0,2886,0,0
2025,LLY,2025-06-26,2025-07-03,5,795.12,780.67,0.0006917806784353593,0.0,2886,0,0
2025,LLY,2025-06-27,2025-06-30,1,775.45,779.53,0.0006898516426920236,0.0,2887,0,0
2025,LLY,2025-06-27,2025-07-07,5,775.45,772.87,0.0006898516426920236,0.0,2887,0,0
2025,LLY,2025-06-30,2025-07-01,1,779.53,775.9,0.0006699822339820995,0.0,2888,0,0
2025,LLY,2025-06-30,2025-07-08,5,779.53,777.66,0.0006699822339820995,0.0,2888,0,0
2025,LLY,2025-07-01,2025-07-02,1,775.9,779.28,0.0006505363415101724,0.0,2889,0,0
2025,LLY,2025-07-01,2025-07-09,5,775.9,786.92,0.0006505363415101724,0.0,2889,0,0
2025,LLY,2025-07-02,2025-07-03,1,779.28,780.67,0.0006315870836946351,0.0,2890,0,0
2025,LLY,2025-07-02,2025-07-10,5,779.28,790.65,0.0006315870836946351,0.0,2890,0,0
2025,LLY,2025-07-03,2025-07-07,1,780.67,772.87,0.0006127347485448059,0.0,2891,0,0
2025,LLY,2025-07-03,2025-07-11,5,780.67,793.01,0.0006127347485448059,0.0,2891,0,0
2025,LLY,2025-07-07,2025-07-08,1,772.87,777.66,0.0005973777582695425,0.0,2892,0,0
2025,LLY,2025-07-07,2025-07-14,5,772.87,799.34,0.0005973777582695425,0.0,2892,0,0
2025,LLY,2025-07-08,2025-07-09,1,777.66,786.92,0.0005806016607241517,0.0,2893,0,0
2025,LLY,2025-07-08,2025-07-15,5,777.66,771.75,0.0005806016607241517,0.0,2893,0,0
2025,LLY,2025-07-09,2025-07-10,1,786.92,790.65,0.0005673871763419267,0.0,2894,0,0
2025,LLY,2025-07-09,2025-07-16,5,786.92,789.8,0.0005673871763419267,0.0,2894,0,0
2025,LLY,2025-07-10,2025-07-11,1,790.65,793.01,0.0005510364076941142,0.0,2895,0,0
2025,LLY,2025-07-10,2025-07-17,5,790.65,761.5,0.0005510364076941142,0.0,2895,0,0
2025,LLY,2025-07-11,2025-07-14,1,793.01,799.34,0.0005347718061279536,0.0,2896,0,0
2025,LLY,2025-07-11,2025-07-18,5,793.01,771.71,0.0005347718061279536,0.0,2896,0,0
2025,LLY,2025-07-14,2025-07-15,1,799.34,771.75,0.0005206249918182625,0.0,2897,0,0
2025,LLY,2025-07-14,2025-07-21,5,799.34,762.18,0.0005206249918182625,0.0,2897,0,0
2025,LLY,2025-07-15,2025-07-16,1,771.75,789.8,0.0005420207362081537,0.0,2898,0,0
2025,LLY,2025-07-15,2025-07-22,5,771.75,776.44,0.0005420207362081537,0.0,2898,0,0
2025,LLY,2025-07-16,2025-07-17,1,789.8,761.5,0.0005417948775113728,0.0,2899,0,0
2025,LLY,2025-07-16,2025-07-23,5,789.8,798.89,0.0005417948775113728,0.0,2899,0,0
2025,LLY,2025-07-17,2025-07-18,1,761.5,771.71,0.0005654857070184594,0.0,2900,0,0
2025,LLY,2025-07-17,2025-07-24,5,761.5,805.43,0.0005654857070184594,0.0,2900,0,0
2025,LLY,2025-07-18,2025-07-21,1,771.71,762.18,0.0005538427364925847,0.0,2901,0,0
2025,LLY,2025-07-18,2025-07-25,5,771.71,812.69,0.0005538427364925847,0.0,2901,0,0
2025,LLY,2025-07-21,2025-07-22,1,762.18,776.44,0.0005418596809469629,0.0,2902,0,0
2025,LLY,2025-07-21,2025-07-28,5,762.18,808.11,0.0005418596809469629,0.0,2902,0,0
2025,LLY,2025-07-22,2025-07-23,1,776.44,798.89,0.0005359120806614763,0.0,2903,0,0
2025,LLY,2025-07-22,2025-07-29,5,776.44,762.95,0.0005359120806614763,0.0,2903,0,0
2025,LLY,2025-07-23,2025-07-24,1,798.89,805.43,0.0005442088781130963,0.0,2904,0,0
2025,LLY,2025-07-23,2025-07-30,5,798.89,760.08,0.0005442088781130963,0.0,2904,0,0
2025,LLY,2025-07-24,2025-07-25,1,805.43,812.69,0.0005298767697410871,0.0,2905,0,0
2025,LLY,2025-07-24,2025-07-31,5,805.43,740.07,0.0005298767697410871,0.0,2905,0,0
2025,LLY,2025-07-25,2025-07-28,1,812.69,808.11,0.0005163961436481553,0.0,2906,0,0
2025,LLY,2025-07-25,2025-08-01,5,812.69,762.33,0.0005163961436481553,0.0,2906,0,0
2025,LLY,2025-07-28,2025-07-29,1,808.11,762.95,0.0005018624582165421,0.0,2907,0,0
2025,LLY,2025-07-28,2025-08-04,5,808.11,769.0,0.0005018624582165421,0.0,2907,0,0
2025,LLY,2025-07-29,2025-07-30,1,762.95,760.08,0.0005860137143237811,0.0,2908,0,0
2025,LLY,2025-07-29,2025-08-05,5,762.95,765.95,0.0005860137143237811,0.0,2908,0,0
